BerufId;Beruf
17606;Akademischer Berufsberater
18651;Akkordant
18707;Akkordarbeiter
12239;Akkordbeamter
14906;Akkordeonbauer
14259;Akkordeonist
17146;Akkordeonlehrer
14255;Akkordeonspieler
14937;Akkordeonstimmer
14883;Akkordeur
10115;Akkreditivsachbearbeiter
10074;Akkreditivspezialist
5228;Akkumulatorenarbeiter
5258;Akkumulatorenbauer
5226;Akkumulatorenmonteur
8994;Akkumulatorenwärter
9721;Akquisiteur
14392;Akrobat
17184;Akrobatiklehrer
10056;Aktienhändler
11585;Aktienregisterführer
15988;Aktivierungstherapeut
15997;Aktivierungstherapeut/-pädagoge
15999;Aktivierungstherapeut/-pädagoge 1
15990;Aktivierungstherapieleiter
11929;Aktuar (Verwaltungsangestellter)
16138;Akupresseur
16144;Akupunkteur
16165;Akupunkteur 1
7662;Akustik- und Audioingenieur
5303;Akustikapparateelektroniker
17970;Akustiker
17973;Akustiker 1
7664;Akustikingenieur
6674;Akzidenzdrucker
6353;Akzidenzsetzer
6480;Akzidenzstereotypeur
14466;Alabasterbildhauer
3341;Alabasterdreher
3348;Alabasterschleifer
5065;Alarmanlagenmonteur
8084;Alarmanlagentechniker
2010;Alaungerber
17654;Albanologe
17313;Alexander-Technik-Lehrer
17938;Algebra-Fachmann
16580;Alkoholfürsorger
9606;Alleinkassierer
15300;Alleinkoch
11531;Alleinsekretär
9189;Alleinverkäufer
15887;Allergiespezialist
10543;Allfinanzberater
15848;Allgemeinarzt
16448;Allgemeinkrankenpfleger
16427;Allgemeinkrankenpfleger, dipl.
1114;Alpakaspinner
1228;Alpakaweber
381;Alpenpflanzengärtner
42;Alphirt
14290;Alphornbläser
17158;Alphornlehrer
14934;Alphornmacher
735;Alpkäser
3202;Altbaurenovierer
3203;Altbausanierer
15673;Alteisenarbeiter
9876;Alteisenhändler
9088;Alteisenkäufer
16723;Altenbetreuer
16548;Altenpfleger
16244;Alternativtherapeut
16698;Altersheimangestellter
16739;Altersheimangestellter 1
16724;Altersheimgehilfe
16652;Altersheimleiter
16438;Alterskrankenpfleger
11944;Alterssiedlungsverwalter
17338;Altersturnkursleiter
17662;Altertumsforscher
17694;Althistoriker
9924;Altmöbelhändler
15688;Altölentsorger
15671;Altpapierentsorger
9926;Altpapierhändler
15681;Altpapiersortierer
17628;Altphilologe
9927;Altpneuhändler
9864;Altstoffhändler
15664;Altstoffsammler
14313;Altus
15678;Altwarensammler
15662;Alu-Recyclingberater
3840;Aluminiumarbeiter
3841;Aluminiumarbeiter 1
4258;Aluminiumdreher
4775;Aluminiumdrücker
6609;Aluminiumdrucker, Offset
3816;Aluminiumformer
3726;Aluminiumgiesser
3828;Aluminiumgussputzer
8769;Aluminiumkonstrukteur
4457;Aluminiumlöter
4741;Aluminiumpresser
3913;Aluminiumschläger
4083;Aluminiumschleifer
3712;Aluminiumschmelzer
4570;Aluminiumschmied
4349;Aluminiumschneider
4426;Aluminiumschweisser
2939;Aluminiumspengler
4307;Aluminiumstanzer
3876;Aluminiumwalzer
4555;Ambossschmied
9685;Ambulanter Händler
16535;Ambulanzbeifahrer
16569;Ambulanzdienstleiter
16528;Ambulanzfahrer
15877;Ambulatoriumschef
11283;Ambulatoriumsverwalter
17656;Amerikanist
16377;Amme
6963;Ammoniakarbeiter
13568;AMP- und Zeughausangestellter
13581;AMP-Angestellter
13577;AMP-Beamter
8652;Ampelbauer
3597;Ampullenarbeiter
3507;Ampullenbläser
3539;Ampullenhersteller
3598;Ampullenkontrolleur
11777;Amtlicher Blitzschutzaufseher
11778;Amtlicher Schätzer
11042;Amtsapotheker
11043;Amtsarzt
11926;Amtsaufseher
11167;Amtschef
11199;Amtschef Bundesverwaltung
11044;Amtschef Kantonale Verwaltung
11045;Amtschef-Stellvertreter (Direktionsmitglied)
11922;Amtsdiener
13694;Amtsgerichtspräsident
13720;Amtsgerichtsschreiber
13689;Amtsgerichtssuppleant
12329;Amtsinformatiker
17425;Amtsinstruktor
11927;Amtskassier
11921;Amtskurier
11322;Amtsleiter-Stellvertreter (nicht Direktionsmitglied)
13722;Amtsnotar
13665;Amtsrichter
11930;Amtsschaffner
11934;Amtsschreiber
11935;Amtsschreiber 1
11828;Amtssekretär
11046;Amtsstatthalter
11048;Amtstierarzt
11928;Amtsvormund
11050;Amtsvormundschaftschef
11033;Amtsvorsteher
11052;Amtsvorsteher-Stellvertreter (Direktionsmitglied)
11051;Amtsvorsteher/Schulinspektor
11925;Amtsweibel
16206;AN-MO-Therapeut
12321;Analysator
17918;Analysechemiker
6793;Analysenzieher
18511;Analyst (ohne nähere Angaben)
12056;Analytical Accountant
12305;Analytiker
12316;Analytiker-Programmierer, eidg. FA
16114;Anästhesie-Assistent
15831;Anästhesie-Oberarzt
15832;Anästhesie-Oberarzt-Stellvertreter
16419;Anästhesie-Oberpfleger
15828;Anästhesiearzt
16113;Anästhesieassistent
16109;Anästhesiegehilfe
16435;Anästhesieoberpfleger-Stellvertreter
16411;Anästhesiepfleger
16424;Anästhesiepfleger 1
17056;Anästhesieschullehrer
15799;Anästhesist
17730;Anatom
17368;Anatomiedozent
80;Anbauberater
67;Anbauleiter
1718;Änderungsnäher
1654;Änderungsschneider
17244;Andragoge
1162;Andrehermeister
15925;Androloge
6625;Andrucker
6525;Andrucker-Kopist
954;Anfeuchter (in Zigarren- und Tabakfabrik)
18601;Angebotsplaner
6071;Angelrutenmacher
18591;Angestellter
12255;Angestellter Administration
11581;Angestellter Adressenverwaltung
18745;Angestellter Agrochemie
18704;Angestellter Autobranche
11840;Angestellter BAMF
18736;Angestellter Baubranche
12769;Angestellter Berg-/Seilbahn
12259;Angestellter Bestellwesen
9687;Angestellter Brockenhaus
15485;Angestellter Chemische Reinigung
15492;Angestellter Chemische Reinigung 1
11830;Angestellter der Vormundschaft
5234;Angestellter Elektrobranche
13102;Angestellter Fluggesellschaft
13049;Angestellter Flugsteigaufsicht
18410;Angestellter für akrobatische Arbeiten
307;Angestellter Gartenbau
12253;Angestellter Geschäftsleitung
12296;Angestellter humanitäre Organisation
15344;Angestellter im Gastgewerbe
16531;Angestellter im Gesundheitsbereich
16473;Angestellter im medizinischen Bereich
18556;Angestellter im Schulbetrieb
9293;Angestellter im Sportgeschäft
18706;Angestellter in Fahrzeugbranche
16765;Angestellter in Kindertageseinrichtung
671;Angestellter in Lebensmittelherstellung
11975;Angestellter internationale Organisation
15404;Angestellter Internetcafé
825;Angestellter Lebensmittelbranche
18685;Angestellter Maschinenbranche
18737;Angestellter Medienbranche
18686;Angestellter Metallbranche
18733;Angestellter Möbelbranche
12260;Angestellter Pensionskasse
18077;Angestellter Qualitätskontrolle
13792;Angestellter Rechtsabteilung
12933;Angestellter Schifffahrt
12934;Angestellter Seefahrtsagentur
12246;Angestellter SRK
940;Angestellter Tabakindustrie
5291;Angestellter Vermessungsbereich Computer
11709;Angestellter Zentrale Dienste
13534;Angestellter Zivilschutz
15909;Angiologe
5421;Angleur
17631;Anglist
17637;Anglist 1
5555;Anhängerbauer
8969;Anheizer
6558;Anilindrucker
18483;Animator
16750;Animator (Sozialbereich)
16653;Animator eines Tagesmutterdienstes
16751;Animator im zwischenmenschlichen Bereich
16712;Animator Lebensgestaltung
18490;Animatorgehilfe
5432;Anker-Hemmungsmonteur
5433;Anker-Hemmungsmonteur und Ingangsetzer
5478;Ankergarnisseur
4427;Ankerlöter
5198;Ankerwickler
14411;Ankleider
1889;Anknüpfer
4390;Ankörner (Metall)
18628;Anlagearbeiter
8955;Anlagebediener
10499;Anlageberater
10501;Anlageberater 1
10057;Anlageberatungschef
18694;Anlagechef
259;Anlagegärtner
4491;Anlagen- und Apparatebauer
4486;Anlagen- und Apparatebauer, Feinblechtechnik
4494;Anlagen- und Apparatebauer, Feinblechtechnik 1
4484;Anlagen- und Apparatebauer, Konstruktionstechnik
4495;Anlagen- und Apparatebauer, Konstruktionstechnik 1
4485;Anlagen- und Apparatebauer, Rohrbautechnik
4496;Anlagen- und Apparatebauer, Rohrbautechnik 1
4488;Anlagen- und Apparatebauer, Schweisstechnik
4497;Anlagen- und Apparatebauer, Schweisstechnik 1
12050;Anlagenbuchhalter
9017;Anlagenführer
8784;Anlagenführer Energieproduktion
8785;Anlagenführer Energieverteilung
5088;Anlagenmonteur
9023;Anlagenoperator
9026;Anlagenoperator 1
18691;Anlagenplaner
7761;Anlagenplanungsingenieur
8068;Anlagentechniker
9214;Anlageverkäufer
8995;Anlagewärter
3950;Anlasser
12960;Anlegestellenvorsteher
9689;Annoncenakquisiteur
4034;Anodiseur
17852;Anorganiker
2153;Anreiber
6132;Anreisser (Holz)
4347;Anreisser (Metall)
4356;Anreisser (Metall) 1
4336;Anreissermeister (Metall)
1171;Anrüster
14159;Ansager
5910;Anschläger
5905;Anschläger in Schreinerei
1045;Ansetzer, Spinnerei
5743;Anspritzer (Metallverarbeitung)
16753;Anstaltsangestellter
15813;Anstaltsarzt
13464;Anstaltsaufseher
11006;Anstaltsdirektor
11009;Anstaltsdirektor 1
16623;Anstaltserzieher
283;Anstaltsgärtner
16725;Anstaltsgehilfe
16737;Anstaltsgehilfe 1
16782;Anstaltsgeistlicher
16790;Anstaltsgeistlicher 1
16673;Anstaltsleiter
16775;Anstaltspfarrer
16665;Anstaltsvater
16674;Anstaltsvater 1
10989;Anstaltsverwalter
16646;Anstaltsvorsteher
13461;Anstaltswärter
11244;Anstellungsleiter
2809;Anstreicher
5153;Antennenmonteur
5173;Antennenmonteur 1
7901;Antennentechniker
17677;Anthropologe
18564;Anthroposoph
5879;Antikschreiner
5878;Antikschreinermeister
9809;Antiquar
9730;Antiquariatsangestellter
9714;Antiquariatsassistent
9625;Antiquariatsbuchhändler
9811;Antiquitätenhändler
14972;Antiquitätenrestaurateur
5873;Antiquitätenschreiner
9192;Antiquitätenverkäufer
13724;Anwalt
13732;Anwalt, Dr. iur.
13733;Anwalt, lic. iur.
13727;Anwalt-Notar
13731;Anwalt-Notar 1
13774;Anwalts- und Notargehilfe
13758;Anwaltsagent
11502;Anwaltsangestellter
13755;Anwaltsassistent
13756;Anwaltsgehilfe
11584;Anwaltskanzlist
11501;Anwaltssekretär
11504;Anwaltssekretär 1
13737;Anwaltssubstitut
18435;Anweiser
12385;Anwenderbetreuer
12377;Anwendungsprogrammierer
8069;Anwendungstechniker
4334;Anzeichner (Metall)
6513;Anzeigen-Layouter
6651;Anzeigendrucker
11272;Anzeigenleiter
9706;Anzeigenverkäufer
9705;Anzeigenverkaufsleiter
889;Apfelpresser
15981;Apothekenangestellter
9796;Apothekenbesucher
15977;Apothekenhelfer
15965;Apothekeninhaber
15951;Apothekenverwalter
15952;Apotheker
15960;Apotheker, eidg. dipl.
15964;Apothekerassistent
15976;Apothekergehilfe
15979;Apothekergehilfe 1
15959;Apothekerprovisor
4489;Apparate-Entwickler
3485;Apparate-Glasbläser
4499;Apparate-Installateur
4490;Apparatebauer
7299;Apparatebauingenieur
8419;Apparatebauzeichner
8965;Apparateführer
7295;Apparateingenieur
2958;Apparateisolierer
8726;Apparatejustierer
8749;Apparatekonstrukteur
8663;Apparatekontrolleur
8895;Apparatemaschinist
5042;Apparatemechaniker
5087;Apparatemonteur
15615;Apparatereiniger
4483;Apparateschlosser
4487;Apparateschlosser 1
8657;Apparateschmierer
4503;Apparatespengler
13692;Appellationsgerichtspräsident
12394;Application Consultant
7766;Application Engineer
12383;Applikationsberater
12534;Applikationsbetreuer
12384;Applikationsentwickler
12358;Applikationsmanager
12535;Applikationssupporter
12531;Applikationstechniker
2049;Appreteur (in Gerberei)
1395;Appreturarbeiter
1545;Appreturkocher
1466;Appreturmeister
1716;Appreturnäher
13095;Apron-Service-Mitarbeiter
18277;Aquafitleiter
18274;Aquagym-Lehrer
6566;Aquarelldrucker
14508;Aquarellmaler
3041;Aquarienbauer
226;Aquarienwärter
17744;Aquariologe
17640;Arabist
8744;Araldierer (elektrische Messinstrumente)
18439;Arbeitausgeber
18593;Arbeiter
18384;Arbeiter (Bolzenfabrik)
4740;Arbeiter Aluminiumverarbeitung
12660;Arbeiter beim Streckendienst
556;Arbeiter Fleischproduktion
18539;Arbeiter im öffentlichen Dienst
18629;Arbeiter in Behindertenwerkstatt
6083;Arbeiter in Holzhandlung
7036;Arbeiter in Kosmetikherstellung
18630;Arbeiter in Maschinenbranche
833;Arbeiter in Nahrungsmittelherstellung
7037;Arbeiter in Seifen- und Waschmittelherstellung
9018;Arbeiter Tankreinigung
4835;Arbeiter Werkzeugbau
16791;Arbeiterseelsorger
11212;Arbeitersekretär
17470;Arbeitsagoge
17414;Arbeitsanleiter
16694;Arbeitsbetreuer
11336;Arbeitschef
10744;Arbeitsdirektor
16628;Arbeitserzieher
16635;Arbeitserzieher 1
15718;Arbeitshygieniker
18512;Arbeitsinspektor
17427;Arbeitsinstruktor
12185;Arbeitskoordinator
17176;Arbeitslehrer
16693;Arbeitslosenbetreuer
11979;Arbeitslosenversicherungsangestellter
15851;Arbeitsmediziner
15885;Arbeitsmediziner 1
17462;Arbeitspädagoge
8561;Arbeitsplaner
12194;Arbeitsplatzorganisator
17593;Arbeitspsychologe
13666;Arbeitsrichter
17170;Arbeitsschullehrer
13641;Arbeitssicherheitsfachmann
7666;Arbeitssicherheitsingenieur
8507;Arbeitsstudienmann
16013;Arbeitstherapeut
10619;Arbeitsvermittler
17610;Arbeitsvermittlungsberater
8598;Arbeitsvorarbeiter
8531;Arbeitsvorbereiter
17510;Arbeitswissenschafter
17773;Archäobotaniker
17668;Archäologe
17671;Archäologieassistent
17670;Archäologiegehilfe
8458;Archäologiezeichner
17673;Archäologischer Ausgraber
17689;Archäologischer Grabungstechniker
17664;Archäologischer Grabungstechniker, eidg. FA
17740;Archäozoologe
7164;Architekt
7180;Architekt ETH
7190;Architekt FH
7165;Architekt HTL
7193;Architekt REG
7194;Architekt REG A
7195;Architekt REG B
7181;Architekt-Techniker
7176;Architekturassistent
8383;Architekturbauzeichner
8394;Architekturbauzeichner 1
11521;Architekturbüroangestellter
10782;Architekturbüroinhaber
17691;Architekturhistoriker
17066;Architekturlehrer
18281;Architekturmodellbauer
7174;Architekturverwalter
